"year","rank","male","female"
1983,67,"Bilal","Şükran"
1983,68,"Erol","Tülay"
1983,69,"Bekir","Deniz"
1983,70,"Serhat","Gülşen"
1983,71,"Erdem","Esma"
1983,72,"Zafer","Yıldız"
1983,73,"Selim","Cemile"
1983,74,"Tuncay","Öznur"
1983,75,"Levent","Nurgül"
1983,76,"Arif","Bahar"
1983,77,"Faruk","Gülşah"
1983,78,"Özcan","Ayfer"
1983,79,"Ufuk","Ayten"
1983,80,"Caner","Sinem"
1983,81,"Ferdi","Şenay"
1983,82,"İlker","Nihal"
1983,83,"İlhan","Zübeyde"
1983,84,"Yavuz","Hilal"
1983,85,"Vedat","Medine"
1983,86,"Alper","Betül"
1983,87,"Taner","Eda"
1983,88,"Abdurrahman","Güler"
1983,89,"Bülent","Türkan"
1983,90,"Turgay","Neşe"
1983,91,"Ekrem","Asiye"
1983,92,"Burhan","Necla"
1983,93,"Halil İbrahim","Nesrin"
1983,94,"İrfan","Özge"
1983,95,"Muharrem","Demet"
1983,96,"Deniz","Rabia"
1983,97,"İlyas","Mine"
1983,98,"Cem","Nurten"
1983,99,"Cemil","Funda"
1983,100,"Cemal","Gülten"
1984,1,"Mehmet","Fatma"
1984,2,"Mustafa","Ayşe"
1984,3,"Murat","Emine"
1984,4,"Ahmet","Hatice"
1984,5,"Ali","Zeynep"
1984,6,"Fatih","Özlem"
1984,7,"İbrahim","Elif"
1984,8,"Hüseyin","Dilek"
1984,9,"Hasan","Yasemin"
1984,10,"İsmail","Derya"
1984,11,"Gökhan","Esra"
1984,12,"Ramazan","Pınar"
1984,13,"Serkan","Tuğba"
1984,14,"Ömer","Songül"
1984,15,"Hakan","Meryem"
1984,16,"Yusuf","Hülya"
1984,17,"Adem","Çiğdem"
1984,18,"Osman","Filiz"
1984,19,"Abdullah","Sibel"
1984,20,"Erkan","Arzu"
1984,21,"Emre","Leyla"
1984,22,"Halil","Melek"
1984,23,"Sinan","Semra"
1984,24,"Serdar","Zehra"
1984,25,"Yasin","Ayşegül"
1984,26,"Süleyman","Sultan"
1984,27,"Onur","Nurcan"
1984,28,"Kadir","Burcu"
1984,29,"Mahmut","Selma"
1984,30,"Ümit","Hacer"
1984,31,"Emrah","Neslihan"
1984,32,"Selçuk","Emel"
1984,33,"Recep","Serpil"
1984,34,"Ercan","Ebru"
1984,35,"Orhan","Serap"
1984,36,"Engin","Sevgi"
1984,37,"Erdal","Seda"
1984,38,"Kenan","Canan"
1984,39,"Mesut","Tuba"
1984,40,"Uğur","Aynur"
1984,41,"Sedat","Havva"
1984,42,"Metin","Sevda"
1984,43,"Ferhat","Aysel"
1984,44,"Yunus","Sema"
1984,45,"Volkan","İlknur"
1984,46,"Salih","Fadime"
1984,47,"Bayram","Şerife"
1984,48,"Harun","Zeliha"
1984,49,"Erhan","Nuray"
1984,50,"Özgür","Rukiye"
1984,51,"Kemal","Gülay"
1984,52,"Ersin","Meral"
1984,53,"Cihan","Halime"
1984,54,"Muhammet","Aslı"
1984,55,"Musa","Duygu"
1984,56,"İsa","Gülcan"
1984,57,"Ayhan","Hanife"
1984,58,"Özkan","Gülşah"
1984,59,"Mehmet Ali","Mehtap"
1984,60,"Yakup","Deniz"
1984,61,"Soner","Sevim"
1984,62,"Aydın","Bahar"
1984,63,"Bilal","Aysun"
1984,64,"Barış","Yeliz"
1984,65,"Tuncay","Gönül"
1984,66,"Zafer","Esma"
1984,67,"İlyas","Seher"
1984,68,"Yılmaz","Şükran"
1984,69,"Erol","Kadriye"
1984,70,"Erdem","Selda"
1984,71,"Serhat","Gülşen"
1984,72,"Cengiz","Sinem"
1984,73,"Yaşar","Gülsüm"
1984,74,"Samet","Tülay"
1984,75,"Selim","Ayten"
1984,76,"Bekir","Nurgül"
1984,77,"Faruk","Cemile"
1984,78,"Arif","Betül"
1984,79,"Ufuk","Yıldız"
1984,80,"Burak","Hilal"
1984,81,"Levent","Öznur"
1984,82,"İlhan","Eda"
1984,83,"Halil İbrahim","Ayfer"
1984,84,"Özcan","Nihal"
1984,85,"Deniz","Necla"
1984,86,"İlker","Türkan"
1984,87,"Alper","Medine"
1984,88,"Vedat","Özge"
1984,89,"Ferdi","Funda"
1984,90,"Şahin","Asiye"
1984,91,"Yavuz","Gamze"
1984,92,"Abdurrahman","Zübeyde"
1984,93,"Taner","Neşe"
1984,94,"Burhan","Demet"
1984,95,"Adnan","Nesrin"
1984,96,"İrfan","Mine"
1984,97,"Oktay","Rabia"
1984,98,"Emin","Reyhan"
1984,99,"Caner","Güler"
1984,100,"Ekrem","Perihan"
1985,1,"Mehmet","Fatma"
1985,2,"Mustafa","Ayşe"
1985,3,"Murat","Emine"
1985,4,"Ahmet","Hatice"
1985,5,"Ali","Zeynep"
1985,6,"Fatih","Özlem"
1985,7,"İbrahim","Elif"
1985,8,"Hüseyin","Dilek"
1985,9,"Hasan","Yasemin"
